"mature","strand","mature_miRNA","miRNA gene ID (HUGO)","miRNA precursor/locus ID (miRBase)","miRNA ID (miRBase)","miRNA precursor/locus ID (MirGeneDB)","oncogene (O)/tumor-suppressor (TS)","predominantly expressed miRNA (miRNA-strand balance)","top 3p miRNA targets (based on miRTarBase)","top 5p miRNA targets (based on miRTarBase)","CMC score","miRCancer POINTS [criterion I]","dbDEMC POINTS [criterion II]","oncomiRDB POINTS [criterion III]","consistency of associations POINTS [criterion IV]","cancer hallmarks POINTS [criterion V]","associated with hallmark Angiogenesis 1 (Angiogenesis, upregulated)","associated with hallmark Angiogenesis 2 (Angiogenesis)","associated with hallmark Angiogenesis 3 (Angiogenesis, MSigDB)","associated with hallmark Apoptosis 1 (Apoptosis, MSigDB)","associated with hallmark Apoptosis 2 (Apoptosis)","associated with hallmark DNA Repair (DNA repair, MSigDB)","associated with hallmark EMT (Epithelial mesenchymal transition, MSigDB)","associated with hallmark G2M Checkpoint (G2M checkpoint, MSigDB)","associated with hallmark Hypoxia 1 (Hypoxia, MSigDB)","associated with hallmark Hypoxia 2 (Hypoxia)","associated with hallmark IL2 STAT5 Signaling (IL2-STAT5 signalling, MSigDB)","associated with hallmark IL6 JAK STAT3 Signaling (IL6-JAK-STAT3 signalling, MSigDB)","associated with hallmark Immune (Immune invasion, upregulated)","associated with hallmark Inflammatory Response (Inflammatory response, MSigDB)","associated with hallmark Invasiveness (Invasiveness)","associated with hallmark KRAS Signaling Up (KRAS signalling, up, MSigDB)","associated with hallmark Oxidative Phosphorylation (Oxidative phosphorylation, MSigDB)"," associated with hallmark p53 Pathway (p53 Pathway, MSigDB)","associated with hallmark PI3K AKT MTOR Signaling (PI3K-AKT-MTor signalling, MSigDB)","associated with hallmark Proliferation (Proliferation, upregulated)","associated with hallmark ROS Pathway (Reactive oxygen species pathway, MSigDB)","associated with hallmark TGF Beta Signaling (TGF-beta signalling, MSigDB)","associated with hallmark TNFa Signaling via NFKB (TNF-alpha signalling via NF-kappaB, MSigDB)","associated with hallmark Xenobiotic Metabolism (Xenobiotic metabolism, MSigDB)","KEGG ""MicroRNAs in cancer"" POINTS [criterion VI]","genetic evidence POINTS [criterion VII]","differentially expressed in Pan-cancer (Hamilton, Nat Commun, 2013)","differentially expressed in Colorectal cancer (Vishnubalaji, Cell Death Dis, 2015)","differentially expressed in Gastric cancer (Oh, Clin Cancer Res, 2011)","differentially expressed in Head and neck cancer (Koshizuka, Oncotarget, 2017)","differentially expressed in Kidney cancer (Wach, Br J Cancer, 2013)","differentially expressed in Melanoma (Kozubek, PLoS One, 2013)","differentially expressed in Ovarian cancer (Krasniqi, Biomark Res, 2021)","differentially expressed in Thyroid cancer (Mancikova, Modern Pathology, 2015)","attributed to Bladder cancer (Rev) (Yoshino, Nat Rev Urol, 2013)","attributed to Breast cancer (Rev) (van Schooneveld, Breast Cancer Research, 2015)","attributed to Lung cancer (Rev) (Zhu, Front Cell Dev Biol, 2021)","attributed to Pancreatic cancer (Rev) (Yonemori, J Hum Genet, 2017)","attributed to Prostate cancer (Rev) (Goto, Int J Urol, 2015)","differentially expressed in TCGA-BLCA (Bladder Urothelial Carcinoma )","differentially expressed in TCGA-BRCA (Breast Invasive Carcinoma)","differentially expressed in TCGA-CHOL (Cholangiocarcinoma)","differentially expressed in TCGA-COAD (Colon Adenocarcinoma)","differentially expressed in TCGA-ESCA (Esophageal Carcinoma)","differentially expressed in TCGA-HNSC (Head and Neck Squamous Cell Carcinoma)","differentially expressed in TCGA-KICH (Kidney Chromophobe)","differentially expressed in TCGA-KIRC (Kidney Renal Clear Cell Carcinoma)","differentially expressed in TCGA-KIRP (Kidney Renal Papillary Cell Carcinoma)","differentially expressed in TCGA-LIHC (Liver Hepatocellular Carcinoma)","differentially expressed in TCGA-LUAD (Lung Adenocarcinoma)","differentially expressed in TCGA-LUSC (Lung Squamous Cell Carcinoma)","differentially expressed in TCGA-PRAD (Prostate Adenocarcinoma)","differentially expressed in TCGA-STAD (Stomach Adenocarcinoma)","differentially expressed in TCGA-THCA (Thyroid Cancer)","differentially expressed in TCGA-UCEC (Uterine Corpus Endometrial Carcinoma)","CRISPR/Cas9 KO screen  of  cell fitness (HeLa - cervical cancer cell line) (Kurata, RNA, 2018)","CRISPR/Cas9 KO screen  of cell fitness (NCI-N87 - gastric cancer cell line) (Kurata, RNA, 2018)","CRISPR/Cas9 KO screen  of cell growth (MV4-11 - myeloid leukemia cell line) (Wallace, PLOS One, 2016)","miRNAS as cancer therapeutic targets in clinical trials (Kim, Exp Mol Med, 2023)"
"hsa-miR-100-5p","5p","hsa-miR-100-5p","MIR100","hsa-mir-100","miR-100","Hsa-Mir-10-P2d","TS","5p","","SMARCA5, PLK1",5,0.5,1,0.5,1,1,"DOWN","","","UP","","DOWN","UP","","UP","","","","","","UP","","DOWN","DOWN","","","","UP","","UP",1,NA,"DOWN","DOWN","","DOWN","DOWN","YES","DOWN","","DOWN","","","UP","DOWN","","DOWN","","","","DOWN","","","","","","DOWN","","","DOWN","DOWN","","ANTI","",""
"hsa-miR-101-3p","3p","hsa-miR-101-3p","MIR101-1","hsa-mir-101-1","miR-101","Hsa-Mir-101-P1-v1/v2","TS","3p","EZH2, MCL1","",6,1,1,1,1,1,"","","DOWN","","DOWN","","DOWN","DOWN","","DOWN","UP","DOWN","UP","","","","DOWN","DOWN","DOWN","DOWN","DOWN","","","",1,NA,"DOWN","","","","","","DOWN","","","","","","","","DOWN","DOWN","UP","","DOWN","DOWN","UP","DOWN","DOWN","","DOWN","","","DOWN","DOWN","","","",""
"hsa-miR-101-3p","3p","hsa-miR-101-3p","MIR101-2","hsa-mir-101-2","miR-101","Hsa-Mir-101-P2-v1/v2","TS","3p","EZH2, MCL1","",6,1,1,1,1,1,"","","DOWN","","DOWN","","DOWN","DOWN","","DOWN","UP","DOWN","UP","","","","DOWN","DOWN","DOWN","DOWN","DOWN","","","",1,NA,"DOWN","","","","","","DOWN","","","","","","","","DOWN","DOWN","UP","","DOWN","DOWN","UP","DOWN","DOWN","","DOWN","","","DOWN","DOWN","","","",""
"hsa-miR-103a-3p","3p","hsa-miR-103a-3p","MIR103A1","hsa-mir-103a-1","miR-103a","Hsa-Mir-103-P4","O","3p","AXIN2, DICER1","",3,NA,0.5,0.5,NA,1,"","","","","UP","","","","","","","","","","DOWN","","","","","","","","","",1,NA,"","","UP","","","","","","","","","","","","UP","","","UP","UP","","UP","UP","","","","UP","UP","","UP","","","",""
"hsa-miR-103a-3p","3p","hsa-miR-103a-3p","MIR103A2","hsa-mir-103a-2","miR-103a","Hsa-Mir-103-P2","O","3p","AXIN2, DICER1","",3,NA,0.5,0.5,NA,1,"","","","","UP","","","","","","","","","","DOWN","","","","","","","","","",1,NA,"","","UP","","","","","","","","","","","","UP","","","UP","UP","","UP","UP","","","UP","UP","UP","","UP","","","",""
"hsa-miR-106a-5p","5p","hsa-miR-106a-5p","MIR106A","hsa-mir-106a","miR-106a","Hsa-Mir-17-P1c","","5p","","MYLIP, RB1",2,0.5,0.5,NA,NA,1,"","","DOWN","","","","","UP","","","","","","","","DOWN","","DOWN","","UP","DOWN","DOWN","","",NA,NA,"UP","","","","","","","","","","","","UP","UP","UP","","","","","DOWN","DOWN","","","","","UP","","DOWN","UP","","","",""
"hsa-miR-106b-5p","5p","hsa-miR-106b-5p","MIR106B","hsa-mir-106b","miR-106b","Hsa-Mir-17-P1d","O","5p","","CDKN1A, BCL2L11",5,0.5,1,0.5,1,1,"","DOWN","","DOWN","","UP","DOWN","UP","DOWN","","","DOWN","","DOWN","","DOWN","DOWN","","","UP","","","","DOWN",1,NA,"","UP","","UP","","","","","","","","","UP","UP","UP","","UP","UP","UP","UP","UP","UP","UP","","UP","UP","UP","DOWN","UP","","","",""
"hsa-miR-10a-5p","5p","hsa-miR-10a-5p","MIR10A","hsa-mir-10a","miR-10a","Hsa-Mir-10-P1c-v1/v2","","5p","","KCTD11, RORA",3,0.5,NA,0.5,NA,1,"","","","","","","","","","DOWN","","","","","","","","","","","","","","UP",1,NA,"","","","DOWN","DOWN","","","","","","","UP","","","DOWN","","","","","UP","DOWN","","DOWN","","DOWN","","","DOWN","","","","",""
"hsa-miR-10b-5p","5p","hsa-miR-10b-5p","MIR10B","hsa-mir-10b","miR-10b","Hsa-Mir-10-P1b-v1/v2","","5p","","HOXD10, BCL2L11",5,1,1,1,NA,1,"DOWN","UP","","","","","","","","","","","","","","","","","UP","","","","","",1,NA,"DOWN","","DOWN","DOWN","DOWN","","DOWN","","","UP","","","","","DOWN","","","","DOWN","DOWN","DOWN","DOWN","UP","","","","","DOWN","DOWN","","","","ANTAGOMIR"
"hsa-miR-1-3p","3p","hsa-miR-1-3p","MIR1-1","hsa-mir-1-1","miR-1","Hsa-Mir-1-P3","TS","3p","PTMA, MET","",4,0.5,0.5,1,1,NA,"","","","","","","","","","","","","","","","","","","","","","","","",1,NA,"","DOWN","","DOWN","","","DOWN","","DOWN","","","","DOWN","DOWN","DOWN","","","","DOWN","DOWN","DOWN","DOWN","","DOWN","DOWN","DOWN","DOWN","","DOWN","","","",""
