"pathway","geneSize"
"2-LTR circle formation",7
"3-hydroxyisobutyryl-CoA hydrolase deficiency",1
"3-Methylcrotonyl-CoA carboxylase deficiency",2
"3-methylglutaconic aciduria",1
"5-Phosphoribose 1-diphosphate biosynthesis",3
"Abacavir ADME",9
"Abacavir metabolism",4
"Abacavir transmembrane transport",5
"Abasic sugar-phosphate removal via the single-nucleotide replacement pathway",2
"ABC transporter disorders",65
"ABC transporters in lipid homeostasis",18
"ABC-family proteins mediated transport",90
"Aberrant regulation of mitotic cell cycle due to RB1 defects",36
"Aberrant regulation of mitotic exit in cancer due to RB1 defects",20
"Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects",17
"Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate",1
"ABO blood group biosynthesis",2
"Abortive elongation of HIV-1 transcript in the absence of Tat",23
"Acetylation",2
"Acetylcholine binding and downstream events",14
"Acetylcholine inhibits contraction of outer hair cells",5
"Acetylcholine Neurotransmitter Release Cycle",17
"Acetylcholine regulates insulin secretion",10
"Acrosome Reaction and Sperm:Oocyte Membrane Binding",6
"Activated NOTCH1 Transmits Signal to the Nucleus",31
"Activated NTRK2 signals through CDK5",6
"Activated NTRK2 signals through FRS2 and FRS3",11
"Activated NTRK2 signals through FYN",7
"Activated NTRK2 signals through PI3K",7
"Activated NTRK2 signals through PLCG1",4
"Activated NTRK2 signals through RAS",9
"Activated NTRK3 signals through PI3K",6
"Activated NTRK3 signals through PLCG1",3
"Activated NTRK3 signals through RAS",8
"Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3",66
"Activated point mutants of FGFR2",17
"activated TAK1 mediates p38 MAPK activation",23
"Activation and oligomerization of BAK protein",2
"Activation of AKT2",4
"Activation of AMPA receptors",4
"Activation of AMPK downstream of NMDARs",29
"Activation of anterior HOX genes in hindbrain development during early embryogenesis",122
"Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins",64
"Activation of ATR in response to replication stress",37
"Activation of BAD and translocation to mitochondria ",15
"Activation of BH3-only proteins",30
"Activation of BIM and translocation to mitochondria ",3
"Activation of BMF and translocation to mitochondria",3
"Activation of C3 and C5",8
"Activation of Ca-permeable Kainate Receptor",10
"Activation of caspases through apoptosome-mediated cleavage",6
"Activation of G protein gated Potassium channels",29
"Activation of GABAB receptors",43
"Activation of gene expression by SREBF (SREBP)",42
"Activation of HOX genes during differentiation",122
"Activation of IRF3, IRF7 mediated by TBK1, IKKε (IKBKE)",18
"Activation of kainate receptors upon glutamate binding",30
"Activation of Matrix Metalloproteinases",33
"Activation of Na-permeable kainate receptors",2
"Activation of NF-kappaB in B cells",54
"Activation of NIMA Kinases NEK9, NEK6, NEK7",7
"Activation of NMDA receptors and postsynaptic events",94
"Activation of NOXA and translocation to mitochondria",5
"Activation of PPARGC1A (PGC-1alpha) by phosphorylation",10
"Activation of PUMA and translocation to mitochondria",9
"Activation of RAC1",13
"Activation of RAC1 downstream of NMDARs",7
"Activation of RAS in B cells",5
"Activation of SMO",18
"Activation of the AP-1 family of transcription factors",10
"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",60
"Activation of the phototransduction cascade",11
