"pathway","gene","cancer"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","ABCF2","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","ABI3BP","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","ACOT7","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","ACOX3","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","ACSF2","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","ACSL1","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","ACTN1","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","ADAM15","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","ADAM19","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","AKAP12","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","AKR7A2","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","ALAS1","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","ALDH8A1","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","AMOTL2","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","AMPD2","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","ANXA6","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","AP1B1","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","APEX2","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","APIP","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","APLNR","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","APOBEC3B","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","ARHGAP15","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","ARHGAP30","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","ARRB2","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","ASAP1","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","ATAD2","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","ATG9B","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","AURKA","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","B4GALNT3","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","BCAT2","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","BID","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","BIRC3","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","BIRC5","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","BLTP3B","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","BLVRB","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","BPGM","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","BRCA1","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","BUB1","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","C1orf216","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","C2CD2L","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","CA2","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","CACUL1","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","CAMK1","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","CAMK2G","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","CAPG","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","CASP6","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","CCL13","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","CCL16","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","CCN1","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","CCNB1","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","CCNB2","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","CCNE1","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","CCSAP","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","CD80","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","CDC25A","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","CDC25B","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","CDC45","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","CDC6","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","CDC7","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","CDCA2","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","CDCA4","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","CDCA7","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","CDCA8","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","CDCP2","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","CDK1","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","CDK9","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","CDKN2C","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","CDT1","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","CEBPA","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","CELSR3","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","CENPA","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","CENPE","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","CENPF","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","CENPN","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","CENPU","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","CERS2","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","CES2","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","CGN","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","CHAF1B","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","CHDH","BLCA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","CISH","BLCA"
