"pathway","gene"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","ABCF2"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","ABI3BP"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","ACOT7"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","ACOX3"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","ACSF2"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","ACSL1"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","ACTN1"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","ADAM15"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","ADAM19"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","AKAP12"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","AKR7A2"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","ALAS1"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","ALDH8A1"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","AMOTL2"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","AMPD2"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","ANXA6"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","AP1B1"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","APEX2"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","APIP"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","APLNR"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","APOBEC3B"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","ARHGAP15"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","ARHGAP30"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","ARRB2"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","ASAP1"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","ATAD2"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","ATG9B"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","AURKA"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","B4GALNT3"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","BCAT2"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","BID"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","BIRC3"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","BIRC5"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","BLTP3B"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","BLVRB"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","BPGM"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","BRCA1"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","BUB1"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","C1orf216"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","C2CD2L"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","CA2"
"LINDGREN_BLADDER_CANCER_CLUSTER_1_DN","CACUL1"
