"pathway","gene"
"APRELIKOVA_BRCA1_TARGETS","ACTA1"
"APRELIKOVA_BRCA1_TARGETS","ACTA2"
"APRELIKOVA_BRCA1_TARGETS","ACTC1"
"APRELIKOVA_BRCA1_TARGETS","ANXA3"
"APRELIKOVA_BRCA1_TARGETS","ANXA5"
"APRELIKOVA_BRCA1_TARGETS","APP"
"APRELIKOVA_BRCA1_TARGETS","ARF1"
"APRELIKOVA_BRCA1_TARGETS","ATP6AP1"
"APRELIKOVA_BRCA1_TARGETS","CA2"
"APRELIKOVA_BRCA1_TARGETS","CKB"
"APRELIKOVA_BRCA1_TARGETS","DDX1"
"APRELIKOVA_BRCA1_TARGETS","DDX21"
"APRELIKOVA_BRCA1_TARGETS","DDX24"
"APRELIKOVA_BRCA1_TARGETS","DDX3X"
"APRELIKOVA_BRCA1_TARGETS","DLG1"
"APRELIKOVA_BRCA1_TARGETS","DNAJA1"
"APRELIKOVA_BRCA1_TARGETS","EIF2S1"
"APRELIKOVA_BRCA1_TARGETS","EIF3C"
"APRELIKOVA_BRCA1_TARGETS","EPRS1"
"APRELIKOVA_BRCA1_TARGETS","FGFBP1"
"APRELIKOVA_BRCA1_TARGETS","FGFR1"
"APRELIKOVA_BRCA1_TARGETS","GOT2"
"APRELIKOVA_BRCA1_TARGETS","HMGA2"
"APRELIKOVA_BRCA1_TARGETS","HSP90AA1"
"APRELIKOVA_BRCA1_TARGETS","ID3"
"APRELIKOVA_BRCA1_TARGETS","KRT8"
"APRELIKOVA_BRCA1_TARGETS","LXN"
"APRELIKOVA_BRCA1_TARGETS","NEFL"
"APRELIKOVA_BRCA1_TARGETS","NUMB"
"APRELIKOVA_BRCA1_TARGETS","PDIA3"
"APRELIKOVA_BRCA1_TARGETS","PEG3"
"APRELIKOVA_BRCA1_TARGETS","PSMC1"
"APRELIKOVA_BRCA1_TARGETS","PSMC2"
"APRELIKOVA_BRCA1_TARGETS","QKI"
"APRELIKOVA_BRCA1_TARGETS","RIT1"
"APRELIKOVA_BRCA1_TARGETS","ROCK2"
"APRELIKOVA_BRCA1_TARGETS","RPA2"
"APRELIKOVA_BRCA1_TARGETS","SARS1"
"APRELIKOVA_BRCA1_TARGETS","SFN"
"APRELIKOVA_BRCA1_TARGETS","SPTAN1"
"APRELIKOVA_BRCA1_TARGETS","STAM"
"APRELIKOVA_BRCA1_TARGETS","TAGLN"
"APRELIKOVA_BRCA1_TARGETS","TFAP2C"
"APRELIKOVA_BRCA1_TARGETS","TPM1"
"APRELIKOVA_BRCA1_TARGETS","TUBA1A"
"APRELIKOVA_BRCA1_TARGETS","VIM"
"APRELIKOVA_BRCA1_TARGETS","WARS1"
"APRELIKOVA_BRCA1_TARGETS","WNT3"
"BAE_BRCA1_TARGETS_DN","ADD2"
"BAE_BRCA1_TARGETS_DN","AQP4"
"BAE_BRCA1_TARGETS_DN","BAG1"
"BAE_BRCA1_TARGETS_DN","CAD"
"BAE_BRCA1_TARGETS_DN","CRAT"
"BAE_BRCA1_TARGETS_DN","CYP27A1"
"BAE_BRCA1_TARGETS_DN","EBI3"
"BAE_BRCA1_TARGETS_DN","GLUD1"
"BAE_BRCA1_TARGETS_DN","HIPK3"
"BAE_BRCA1_TARGETS_DN","HYOU1"
"BAE_BRCA1_TARGETS_DN","IREB2"
"BAE_BRCA1_TARGETS_DN","JAK1"
"BAE_BRCA1_TARGETS_DN","LAMC1"
"BAE_BRCA1_TARGETS_DN","MAN1A2"
"BAE_BRCA1_TARGETS_DN","MT1F"
"BAE_BRCA1_TARGETS_DN","MYB"
"BAE_BRCA1_TARGETS_DN","NONO"
"BAE_BRCA1_TARGETS_DN","NPM1"
"BAE_BRCA1_TARGETS_DN","PEX2"
"BAE_BRCA1_TARGETS_DN","PKN2"
"BAE_BRCA1_TARGETS_DN","SMAD5"
"BAE_BRCA1_TARGETS_DN","STIL"
"BAE_BRCA1_TARGETS_DN","TCOF1"
"BAE_BRCA1_TARGETS_DN","THBS1"
"BAE_BRCA1_TARGETS_DN","TJP1"
"BAE_BRCA1_TARGETS_DN","TJP2"
"BAE_BRCA1_TARGETS_DN","TKT"
"BAE_BRCA1_TARGETS_DN","TNFAIP3"
"BAE_BRCA1_TARGETS_DN","TNFAIP6"
"BAE_BRCA1_TARGETS_DN","ZNF135"
"BAE_BRCA1_TARGETS_UP","AARS1"
"BAE_BRCA1_TARGETS_UP","ABCG1"
"BAE_BRCA1_TARGETS_UP","ADH5"
"BAE_BRCA1_TARGETS_UP","ALDH3B2"
"BAE_BRCA1_TARGETS_UP","ALOX5"
"BAE_BRCA1_TARGETS_UP","ANXA1"
"BAE_BRCA1_TARGETS_UP","ASIC1"
"BAE_BRCA1_TARGETS_UP","ATF4"
"BAE_BRCA1_TARGETS_UP","BCL7B"
"BAE_BRCA1_TARGETS_UP","BMP7"
"BAE_BRCA1_TARGETS_UP","BTG1"
"BAE_BRCA1_TARGETS_UP","CAMLG"
"BAE_BRCA1_TARGETS_UP","CCN3"
"BAE_BRCA1_TARGETS_UP","CCNG2"
"BAE_BRCA1_TARGETS_UP","CNBP"
"BAE_BRCA1_TARGETS_UP","COL4A5"
"BAE_BRCA1_TARGETS_UP","COX7C"
"BAE_BRCA1_TARGETS_UP","CRY1"
"BAE_BRCA1_TARGETS_UP","CTSL"
"BAE_BRCA1_TARGETS_UP","DRAP1"
"BAE_BRCA1_TARGETS_UP","EPAS1"
"BAE_BRCA1_TARGETS_UP","EPHX2"
"BAE_BRCA1_TARGETS_UP","EYA2"
"BAE_BRCA1_TARGETS_UP","GAA"
"BAE_BRCA1_TARGETS_UP","GMFB"
"BAE_BRCA1_TARGETS_UP","GNG10"
"BAE_BRCA1_TARGETS_UP","GTF2A2"
"BAE_BRCA1_TARGETS_UP","H2BC5"
"BAE_BRCA1_TARGETS_UP","HACD3"
"BAE_BRCA1_TARGETS_UP","HINT1"
"BAE_BRCA1_TARGETS_UP","IDI1"
"BAE_BRCA1_TARGETS_UP","IFRD1"
"BAE_BRCA1_TARGETS_UP","JUND"
"BAE_BRCA1_TARGETS_UP","JUP"
"BAE_BRCA1_TARGETS_UP","KCNK1"
"BAE_BRCA1_TARGETS_UP","KRT19"
"BAE_BRCA1_TARGETS_UP","KYNU"
"BAE_BRCA1_TARGETS_UP","LAMP2"
"BAE_BRCA1_TARGETS_UP","LGALS3"
"BAE_BRCA1_TARGETS_UP","LIG1"
"BAE_BRCA1_TARGETS_UP","LSM1"
"BAE_BRCA1_TARGETS_UP","LSS"
"BAE_BRCA1_TARGETS_UP","MARCKS"
"BAE_BRCA1_TARGETS_UP","MGST1"
"BAE_BRCA1_TARGETS_UP","MSMO1"
