"pathway","gene"
"HP_CERVICAL_NEOPLASM","CDKN1B"
"HP_CERVICAL_NEOPLASM","CXCR4"
"HP_CERVICAL_NEOPLASM","FGFR3"
"HP_CERVICAL_NEOPLASM","GATA2"
"HP_CERVICAL_NEOPLASM","MAD1L1"
"HP_CERVICAL_NEOPLASM","SRY"
"HP_CERVICAL_NEOPLASM","STK11"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_DN","ADGRV1"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_DN","ASPRV1"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_DN","CDSN"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_DN","CRISPLD1"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_DN","DCN"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_DN","DDX3Y"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_DN","DEFB4A"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_DN","DPT"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_DN","DSC1"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_DN","EIF1AY"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_DN","FEZ1"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_DN","H19"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_DN","IL1R2"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_DN","KDM5D"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_DN","KLK7"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_DN","KLK8"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_DN","KRTDAP"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_DN","LRRC15"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_DN","LY96"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_DN","MAGEA12"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_DN","MEGF10"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_DN","NEB"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_DN","PDPN"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_DN","RPS4Y1"
