"pathway","gene"
"BARRIER_COLON_CANCER_RECURRENCE_DN","ACOT11"
"BARRIER_COLON_CANCER_RECURRENCE_DN","ARHGAP33"
"BARRIER_COLON_CANCER_RECURRENCE_DN","ASB13"
"BARRIER_COLON_CANCER_RECURRENCE_DN","BSG"
"BARRIER_COLON_CANCER_RECURRENCE_DN","BTBD2"
"BARRIER_COLON_CANCER_RECURRENCE_DN","CD24"
"BARRIER_COLON_CANCER_RECURRENCE_DN","CDK10"
"BARRIER_COLON_CANCER_RECURRENCE_DN","CITED2"
"BARRIER_COLON_CANCER_RECURRENCE_DN","CTSA"
"BARRIER_COLON_CANCER_RECURRENCE_DN","EPPK1"
"BARRIER_COLON_CANCER_RECURRENCE_DN","FOXJ3"
"BARRIER_COLON_CANCER_RECURRENCE_DN","KCNAB1"
"BARRIER_COLON_CANCER_RECURRENCE_DN","NDFIP1"
"BARRIER_COLON_CANCER_RECURRENCE_DN","NUCB1"
"BARRIER_COLON_CANCER_RECURRENCE_DN","PFKL"
"BARRIER_COLON_CANCER_RECURRENCE_DN","SPPL2B"
"BARRIER_COLON_CANCER_RECURRENCE_DN","STAT2"
"BARRIER_COLON_CANCER_RECURRENCE_DN","TLE5"
"BARRIER_COLON_CANCER_RECURRENCE_DN","TSPAN7"
"BARRIER_COLON_CANCER_RECURRENCE_UP","AHI1"
"BARRIER_COLON_CANCER_RECURRENCE_UP","ANG"
"BARRIER_COLON_CANCER_RECURRENCE_UP","ANXA2"
"BARRIER_COLON_CANCER_RECURRENCE_UP","ARL1"
"BARRIER_COLON_CANCER_RECURRENCE_UP","CFH"
"BARRIER_COLON_CANCER_RECURRENCE_UP","CIAO1"
"BARRIER_COLON_CANCER_RECURRENCE_UP","CNPY2"
"BARRIER_COLON_CANCER_RECURRENCE_UP","COPS8"
"BARRIER_COLON_CANCER_RECURRENCE_UP","DNAJC12"
"BARRIER_COLON_CANCER_RECURRENCE_UP","ERGIC2"
"BARRIER_COLON_CANCER_RECURRENCE_UP","EXT2"
"BARRIER_COLON_CANCER_RECURRENCE_UP","FOXO1"
"BARRIER_COLON_CANCER_RECURRENCE_UP","GPR171"
"BARRIER_COLON_CANCER_RECURRENCE_UP","GPR89B"
"BARRIER_COLON_CANCER_RECURRENCE_UP","HGD"
"BARRIER_COLON_CANCER_RECURRENCE_UP","ITM2A"
"BARRIER_COLON_CANCER_RECURRENCE_UP","KDELR3"
"BARRIER_COLON_CANCER_RECURRENCE_UP","METTL9"
"BARRIER_COLON_CANCER_RECURRENCE_UP","NDEL1"
"BARRIER_COLON_CANCER_RECURRENCE_UP","NME7"
"BARRIER_COLON_CANCER_RECURRENCE_UP","PDHB"
"BARRIER_COLON_CANCER_RECURRENCE_UP","POLD3"
"BARRIER_COLON_CANCER_RECURRENCE_UP","PSMC2"
"BARRIER_COLON_CANCER_RECURRENCE_UP","PWP1"
"BARRIER_COLON_CANCER_RECURRENCE_UP","RPN2"
"BARRIER_COLON_CANCER_RECURRENCE_UP","SAR1A"
"BARRIER_COLON_CANCER_RECURRENCE_UP","SCEL"
"BARRIER_COLON_CANCER_RECURRENCE_UP","SEC62"
"BARRIER_COLON_CANCER_RECURRENCE_UP","SLC18A1"
"BARRIER_COLON_CANCER_RECURRENCE_UP","SLCO4A1"
"BARRIER_COLON_CANCER_RECURRENCE_UP","SNU13"
"BARRIER_COLON_CANCER_RECURRENCE_UP","SRP72"
"BARRIER_COLON_CANCER_RECURRENCE_UP","SULT1C2"
"BARRIER_COLON_CANCER_RECURRENCE_UP","TENT5A"
"BARRIER_COLON_CANCER_RECURRENCE_UP","THOC2"
"BARRIER_COLON_CANCER_RECURRENCE_UP","TIMM17A"
"BARRIER_COLON_CANCER_RECURRENCE_UP","TRIM2"
"BARRIER_COLON_CANCER_RECURRENCE_UP","UGGT1"
"BARRIER_COLON_CANCER_RECURRENCE_UP","WDHD1"
"BARRIER_COLON_CANCER_RECURRENCE_UP","XPNPEP1"
"BARRIER_COLON_CANCER_RECURRENCE_UP","YIPF1"
"BARRIER_COLON_CANCER_RECURRENCE_UP","YIPF6"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","ACOT1"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","AHNAK"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","AMER1"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","AMY2A"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","APOBEC3A"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","APOBEC3B"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","APP"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","ASB12"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","BCAR3"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","BTNL8"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","CES1"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","CES1P1"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","CFHR1"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","CFHR2"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","CFHR4"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","CLCC1"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","CLEC4C"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","DPPA3"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","EEF1G"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","ELAPOR1"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","FCGR1A"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","FRMPD2"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","GDF3"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","GPSM2"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","GSTT1"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","H2AC18"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","H2AC20"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","H2AC21"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","H2BC21"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","H3-7"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","H4C14"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","HEATR4"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","HERC2P3"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","HLA-B"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","HLA-C"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","HLA-DRB5"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","LCE3E"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","LINC02591"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","LPA"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","MACROD2"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","MTA2"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","MTMR8"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","NANOG"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","NEGR1"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","NME7"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","NRXN3"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","OR2A1"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","OR2A42"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","OR2T10"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","OR2T11"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","OR2T34"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","OR4C11"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","OR4C6"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","OR4M2"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","OR4N4"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","OR4P4"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","OR4S2"
