"pathway","gene"
"HP_ESOPHAGEAL_CARCINOMA","APC"
"HP_ESOPHAGEAL_CARCINOMA","ASCC1"
"HP_ESOPHAGEAL_CARCINOMA","CTHRC1"
"HP_ESOPHAGEAL_CARCINOMA","DCC"
"HP_ESOPHAGEAL_CARCINOMA","DLEC1"
"HP_ESOPHAGEAL_CARCINOMA","LZTS1"
"HP_ESOPHAGEAL_CARCINOMA","MSR1"
"HP_ESOPHAGEAL_CARCINOMA","RHBDF2"
"HP_ESOPHAGEAL_CARCINOMA","RNF6"
"HP_ESOPHAGEAL_CARCINOMA","STAT1"
"HP_ESOPHAGEAL_CARCINOMA","TGFBR2"
"HP_ESOPHAGEAL_CARCINOMA","WWOX"
"HP_ESOPHAGEAL_NEOPLASM","AAGAB"
"HP_ESOPHAGEAL_NEOPLASM","APC"
"HP_ESOPHAGEAL_NEOPLASM","ASCC1"
"HP_ESOPHAGEAL_NEOPLASM","BLM"
"HP_ESOPHAGEAL_NEOPLASM","COL14A1"
"HP_ESOPHAGEAL_NEOPLASM","COL4A5"
"HP_ESOPHAGEAL_NEOPLASM","COL4A6"
"HP_ESOPHAGEAL_NEOPLASM","CTHRC1"
"HP_ESOPHAGEAL_NEOPLASM","DCC"
"HP_ESOPHAGEAL_NEOPLASM","DLEC1"
"HP_ESOPHAGEAL_NEOPLASM","FH"
"HP_ESOPHAGEAL_NEOPLASM","KIT"
"HP_ESOPHAGEAL_NEOPLASM","LZTS1"
"HP_ESOPHAGEAL_NEOPLASM","MSR1"
"HP_ESOPHAGEAL_NEOPLASM","MYH11"
"HP_ESOPHAGEAL_NEOPLASM","PDE11A"
"HP_ESOPHAGEAL_NEOPLASM","PDGFRA"
"HP_ESOPHAGEAL_NEOPLASM","PRKAR1A"
"HP_ESOPHAGEAL_NEOPLASM","RAD21"
"HP_ESOPHAGEAL_NEOPLASM","RHBDF2"
"HP_ESOPHAGEAL_NEOPLASM","RNF6"
"HP_ESOPHAGEAL_NEOPLASM","SDHA"
"HP_ESOPHAGEAL_NEOPLASM","SDHB"
"HP_ESOPHAGEAL_NEOPLASM","SDHC"
"HP_ESOPHAGEAL_NEOPLASM","STAT1"
"HP_ESOPHAGEAL_NEOPLASM","STK11"
"HP_ESOPHAGEAL_NEOPLASM","TGFBR2"
"HP_ESOPHAGEAL_NEOPLASM","WWOX"
"STONER_ESOPHAGEAL_CARCINOGENESIS_DN","GATD3"
"STONER_ESOPHAGEAL_CARCINOGENESIS_DN","HMMR"
"STONER_ESOPHAGEAL_CARCINOGENESIS_DN","RABIF"
"STONER_ESOPHAGEAL_CARCINOGENESIS_DN","RBBP6"
"STONER_ESOPHAGEAL_CARCINOGENESIS_DN","SRRM1"
"STONER_ESOPHAGEAL_CARCINOGENESIS_DN","UBE3D"
"STONER_ESOPHAGEAL_CARCINOGENESIS_UP","ACP1"
