"pathway","gene"
"ABDULRAHMAN_KIDNEY_CANCER_VHL_DN","ACTA2"
"ABDULRAHMAN_KIDNEY_CANCER_VHL_DN","ALDH1A1"
"ABDULRAHMAN_KIDNEY_CANCER_VHL_DN","ALDH3B1"
"ABDULRAHMAN_KIDNEY_CANCER_VHL_DN","ITGB3BP"
"ABDULRAHMAN_KIDNEY_CANCER_VHL_DN","MPPE1"
"ABDULRAHMAN_KIDNEY_CANCER_VHL_DN","MTMR3"
"ABDULRAHMAN_KIDNEY_CANCER_VHL_DN","PALLD"
"ABDULRAHMAN_KIDNEY_CANCER_VHL_DN","PJA2"
"ABDULRAHMAN_KIDNEY_CANCER_VHL_DN","RHOBTB1"
"ABDULRAHMAN_KIDNEY_CANCER_VHL_DN","SEC31A"
"ABDULRAHMAN_KIDNEY_CANCER_VHL_DN","SNRPN"
"ABDULRAHMAN_KIDNEY_CANCER_VHL_DN","STX11"
"ABDULRAHMAN_KIDNEY_CANCER_VHL_DN","UGT2B7"
"KEGG_RENAL_CELL_CARCINOMA","AKT1"
"KEGG_RENAL_CELL_CARCINOMA","AKT2"
"KEGG_RENAL_CELL_CARCINOMA","AKT3"
"KEGG_RENAL_CELL_CARCINOMA","ARAF"
"KEGG_RENAL_CELL_CARCINOMA","ARNT"
"KEGG_RENAL_CELL_CARCINOMA","ARNT2"
"KEGG_RENAL_CELL_CARCINOMA","BRAF"
"KEGG_RENAL_CELL_CARCINOMA","CDC42"
"KEGG_RENAL_CELL_CARCINOMA","CREBBP"
"KEGG_RENAL_CELL_CARCINOMA","CRK"
"KEGG_RENAL_CELL_CARCINOMA","CRKL"
"KEGG_RENAL_CELL_CARCINOMA","CUL2"
"KEGG_RENAL_CELL_CARCINOMA","EGLN1"
"KEGG_RENAL_CELL_CARCINOMA","EGLN2"
"KEGG_RENAL_CELL_CARCINOMA","EGLN3"
"KEGG_RENAL_CELL_CARCINOMA","ELOB"
"KEGG_RENAL_CELL_CARCINOMA","ELOC"
"KEGG_RENAL_CELL_CARCINOMA","EP300"
"KEGG_RENAL_CELL_CARCINOMA","EPAS1"
"KEGG_RENAL_CELL_CARCINOMA","ETS1"
"KEGG_RENAL_CELL_CARCINOMA","FH"
"KEGG_RENAL_CELL_CARCINOMA","FLCN"
"KEGG_RENAL_CELL_CARCINOMA","GAB1"
"KEGG_RENAL_CELL_CARCINOMA","GRB2"
"KEGG_RENAL_CELL_CARCINOMA","HGF"
"KEGG_RENAL_CELL_CARCINOMA","HIF1A"
