"pathway","gene"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","AKT1"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","AKT2"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","AKT3"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","ALK"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","ARAF"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","BAD"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","BRAF"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","BUB1B-PAK6"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","C8orf34"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","CBL"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","CDC42"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","CDKN1A"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","CRK"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","CRKL"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","ELOA"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","ETS1"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","GAB1"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","GRB2"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","HGF"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","HRAS"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","INSL3"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","JAK3"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","JUN"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","KRAS"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","MAP2K1"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","MAP2K2"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","MAPK1"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","MAPK3"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","MAPK8"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","MET"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","NRAS"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","PAK1"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","PAK2"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","PAK3"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","PAK4"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","PAK5"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","PAK6"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","PIK3CA"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","PIK3CB"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","PIK3CD"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","PIK3R1"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","PIK3R2"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","PIK3R3"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","PLCG1"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","PRCC"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","PTK2"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","PTPN11"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","RAC1"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","RAF1"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","RAP1A"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","RAP1B"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","RAPGEF1"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","RPL11"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","SOS1"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","SOS2"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","SRC"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","STAT3"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","STRN"
"WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA","TFE3"
"WP_TYPE_2_PAPILLARY_RENAL_CELL_CARCINOMA","ARNT"
"WP_TYPE_2_PAPILLARY_RENAL_CELL_CARCINOMA","ARNT2"
"WP_TYPE_2_PAPILLARY_RENAL_CELL_CARCINOMA","BIRC7"
"WP_TYPE_2_PAPILLARY_RENAL_CELL_CARCINOMA","CADM2"
