"pathway","gene"
"ACEVEDO_LIVER_CANCER_DN","ABHD10"
"ACEVEDO_LIVER_CANCER_DN","ACAA1"
"ACEVEDO_LIVER_CANCER_DN","ACACB"
"ACEVEDO_LIVER_CANCER_DN","ACAD11"
"ACEVEDO_LIVER_CANCER_DN","ACADS"
"ACEVEDO_LIVER_CANCER_DN","ACADSB"
"ACEVEDO_LIVER_CANCER_DN","ACADVL"
"ACEVEDO_LIVER_CANCER_DN","ACAT1"
"ACEVEDO_LIVER_CANCER_DN","ACAT2"
"ACEVEDO_LIVER_CANCER_DN","ACCS"
"ACEVEDO_LIVER_CANCER_DN","ACOT12"
"ACEVEDO_LIVER_CANCER_DN","ACOX3"
"ACEVEDO_LIVER_CANCER_DN","ACP2"
"ACEVEDO_LIVER_CANCER_DN","ADAMTSL2"
"ACEVEDO_LIVER_CANCER_DN","ADH1A"
"ACEVEDO_LIVER_CANCER_DN","ADH4"
"ACEVEDO_LIVER_CANCER_DN","ADI1"
"ACEVEDO_LIVER_CANCER_DN","ADIPOR2"
"ACEVEDO_LIVER_CANCER_DN","ADM"
"ACEVEDO_LIVER_CANCER_DN","AGMAT"
"ACEVEDO_LIVER_CANCER_DN","AGMO"
"ACEVEDO_LIVER_CANCER_DN","AGPAT2"
"ACEVEDO_LIVER_CANCER_DN","AGT"
"ACEVEDO_LIVER_CANCER_DN","AGXT2"
"ACEVEDO_LIVER_CANCER_DN","AIG1"
"ACEVEDO_LIVER_CANCER_DN","AK3"
"ACEVEDO_LIVER_CANCER_DN","AKR7A3"
"ACEVEDO_LIVER_CANCER_DN","ALDH2"
"ACEVEDO_LIVER_CANCER_DN","ALDH9A1"
"ACEVEDO_LIVER_CANCER_DN","ALDOB"
"ACEVEDO_LIVER_CANCER_DN","ALKBH3"
"ACEVEDO_LIVER_CANCER_DN","ALPL"
"ACEVEDO_LIVER_CANCER_DN","AMBP"
"ACEVEDO_LIVER_CANCER_DN","ANGPTL3"
"ACEVEDO_LIVER_CANCER_DN","ANGPTL8"
"ACEVEDO_LIVER_CANCER_DN","ANKRD33"
"ACEVEDO_LIVER_CANCER_DN","ANKRD46"
"ACEVEDO_LIVER_CANCER_DN","ANPEP"
