"pathway","gene"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","ACVR1B"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","ADNP2"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","AHI1"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","AK2"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","ALPL"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","AMD1"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","AMDHD2"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","APOL2"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","APOL3"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","APOL6"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","ARF3"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","ASCC2"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","ASF1A"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","ATF4"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","ATG5"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","ATP2B1"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","ATP5F1A"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","ATP6V0C"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","ATP6V1B2"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","BCR"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","BLOC1S1"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","BTG1"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","C6orf120"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","CACNB3"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","CAND1"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","CARD10"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","CBX5"
