"pathway","gene"
"HP_PROSTATE_CANCER","AAGAB"
"HP_PROSTATE_CANCER","APC"
"HP_PROSTATE_CANCER","AR"
"HP_PROSTATE_CANCER","BARD1"
"HP_PROSTATE_CANCER","BMPR1A"
"HP_PROSTATE_CANCER","BRCA1"
"HP_PROSTATE_CANCER","BRCA2"
"HP_PROSTATE_CANCER","BRIP1"
"HP_PROSTATE_CANCER","CDKN2A"
"HP_PROSTATE_CANCER","CHEK2"
"HP_PROSTATE_CANCER","COL14A1"
"HP_PROSTATE_CANCER","EPHB2"
"HP_PROSTATE_CANCER","FOXE1"
"HP_PROSTATE_CANCER","GREM1"
"HP_PROSTATE_CANCER","KLF6"
"HP_PROSTATE_CANCER","MAD1L1"
"HP_PROSTATE_CANCER","MDM2"
"HP_PROSTATE_CANCER","MRE11"
"HP_PROSTATE_CANCER","MXI1"
"HP_PROSTATE_CANCER","NAB2"
"HP_PROSTATE_CANCER","NBN"
"HP_PROSTATE_CANCER","NTHL1"
"HP_PROSTATE_CANCER","PALB2"
"HP_PROSTATE_CANCER","PTEN"
"HP_PROSTATE_CANCER","RAD50"
"HP_PROSTATE_CANCER","RAD51"
"HP_PROSTATE_CANCER","RAD51C"
"HP_PROSTATE_CANCER","RAD51D"
"HP_PROSTATE_CANCER","RNASEL"
"HP_PROSTATE_CANCER","RNF43"
"HP_PROSTATE_CANCER","STAT6"
"HP_PROSTATE_CANCER","TP53"
"HP_PROSTATE_CANCER","ZFHX3"
"HWANG_PROSTATE_CANCER_MARKERS","AGR2"
"HWANG_PROSTATE_CANCER_MARKERS","AZGP1"
"HWANG_PROSTATE_CANCER_MARKERS","CALR"
"HWANG_PROSTATE_CANCER_MARKERS","CLU"
"HWANG_PROSTATE_CANCER_MARKERS","CTNNB1"
"HWANG_PROSTATE_CANCER_MARKERS","EZR"
"HWANG_PROSTATE_CANCER_MARKERS","FBLN5"
"HWANG_PROSTATE_CANCER_MARKERS","FKBP5"
"HWANG_PROSTATE_CANCER_MARKERS","FLNA"
"HWANG_PROSTATE_CANCER_MARKERS","HSPA6"
"HWANG_PROSTATE_CANCER_MARKERS","ILK"
"HWANG_PROSTATE_CANCER_MARKERS","KPNB1"
"HWANG_PROSTATE_CANCER_MARKERS","LGALS1"
"HWANG_PROSTATE_CANCER_MARKERS","LGALS3"
"HWANG_PROSTATE_CANCER_MARKERS","MIF"
"HWANG_PROSTATE_CANCER_MARKERS","MUC1"
"HWANG_PROSTATE_CANCER_MARKERS","NDRG1"
"HWANG_PROSTATE_CANCER_MARKERS","PARK7"
"HWANG_PROSTATE_CANCER_MARKERS","PGK1"
"HWANG_PROSTATE_CANCER_MARKERS","PHB1"
"HWANG_PROSTATE_CANCER_MARKERS","PIM1"
"HWANG_PROSTATE_CANCER_MARKERS","PTEN"
"HWANG_PROSTATE_CANCER_MARKERS","RAN"
