"pathway","gene"
"GRADE_COLON_AND_RECTAL_CANCER_DN","ACTL8"
"GRADE_COLON_AND_RECTAL_CANCER_DN","ADAMTSL4"
"GRADE_COLON_AND_RECTAL_CANCER_DN","AKR7A2"
"GRADE_COLON_AND_RECTAL_CANCER_DN","AOC2"
"GRADE_COLON_AND_RECTAL_CANCER_DN","B3GALNT1"
"GRADE_COLON_AND_RECTAL_CANCER_DN","C14orf132"
"GRADE_COLON_AND_RECTAL_CANCER_DN","C2orf88"
"GRADE_COLON_AND_RECTAL_CANCER_DN","CA5A"
"GRADE_COLON_AND_RECTAL_CANCER_DN","CACNA2D2"
"GRADE_COLON_AND_RECTAL_CANCER_DN","CBS"
"GRADE_COLON_AND_RECTAL_CANCER_DN","CCDC71"
"GRADE_COLON_AND_RECTAL_CANCER_DN","CCR9"
"GRADE_COLON_AND_RECTAL_CANCER_DN","CD28"
"GRADE_COLON_AND_RECTAL_CANCER_DN","CDK12"
"GRADE_COLON_AND_RECTAL_CANCER_DN","CFD"
"GRADE_COLON_AND_RECTAL_CANCER_DN","CHST15"
"GRADE_COLON_AND_RECTAL_CANCER_DN","CHST8"
"GRADE_COLON_AND_RECTAL_CANCER_DN","COL4A5"
"GRADE_COLON_AND_RECTAL_CANCER_DN","CPN2"
"GRADE_COLON_AND_RECTAL_CANCER_DN","CX3CR1"
"GRADE_COLON_AND_RECTAL_CANCER_DN","CYB5D1"
"GRADE_COLON_AND_RECTAL_CANCER_DN","DAP"
"GRADE_COLON_AND_RECTAL_CANCER_DN","DHPS"
"GRADE_COLON_AND_RECTAL_CANCER_DN","FABP7"
"GRADE_COLON_AND_RECTAL_CANCER_DN","FAN1"
"GRADE_COLON_AND_RECTAL_CANCER_DN","FHL1"
"GRADE_COLON_AND_RECTAL_CANCER_DN","FKRP"
"GRADE_COLON_AND_RECTAL_CANCER_DN","GFI1"
"GRADE_COLON_AND_RECTAL_CANCER_DN","GGA1"
"GRADE_COLON_AND_RECTAL_CANCER_DN","GNA11"
"GRADE_COLON_AND_RECTAL_CANCER_DN","GNPDA1"
"GRADE_COLON_AND_RECTAL_CANCER_DN","GPC1"
"GRADE_COLON_AND_RECTAL_CANCER_DN","GPR87"
"GRADE_COLON_AND_RECTAL_CANCER_DN","GREB1"
"GRADE_COLON_AND_RECTAL_CANCER_DN","GTF3C4"
"GRADE_COLON_AND_RECTAL_CANCER_DN","HAUS5"
"GRADE_COLON_AND_RECTAL_CANCER_DN","HIC2"
"GRADE_COLON_AND_RECTAL_CANCER_DN","HMGXB4"
"GRADE_COLON_AND_RECTAL_CANCER_DN","ITPKB"
"GRADE_COLON_AND_RECTAL_CANCER_DN","JAM3"
"GRADE_COLON_AND_RECTAL_CANCER_DN","KRT84"
"GRADE_COLON_AND_RECTAL_CANCER_DN","LDB2"
"GRADE_COLON_AND_RECTAL_CANCER_DN","LGALS2"
"GRADE_COLON_AND_RECTAL_CANCER_DN","LRFN1"
"GRADE_COLON_AND_RECTAL_CANCER_DN","LRTOMT"
"GRADE_COLON_AND_RECTAL_CANCER_DN","LYPD3"
"GRADE_COLON_AND_RECTAL_CANCER_DN","MEF2D"
"GRADE_COLON_AND_RECTAL_CANCER_DN","MITF"
"GRADE_COLON_AND_RECTAL_CANCER_DN","MSRA"
"GRADE_COLON_AND_RECTAL_CANCER_DN","MYCN"
"GRADE_COLON_AND_RECTAL_CANCER_DN","NAT8L"
"GRADE_COLON_AND_RECTAL_CANCER_DN","NAV1"
"GRADE_COLON_AND_RECTAL_CANCER_DN","NR1H4"
"GRADE_COLON_AND_RECTAL_CANCER_DN","NR3C1"
