"pathway","gene"
"AUNG_GASTRIC_CANCER","A4GNT"
"AUNG_GASTRIC_CANCER","ALDH7A1"
"AUNG_GASTRIC_CANCER","AQR"
"AUNG_GASTRIC_CANCER","ATE1"
"AUNG_GASTRIC_CANCER","ATP5IF1"
"AUNG_GASTRIC_CANCER","BIRC5"
"AUNG_GASTRIC_CANCER","BRD4"
"AUNG_GASTRIC_CANCER","C19orf25"
"AUNG_GASTRIC_CANCER","CBFA2T3"
"AUNG_GASTRIC_CANCER","CCT3"
"AUNG_GASTRIC_CANCER","CSAG2"
"AUNG_GASTRIC_CANCER","CYP2W1"
"AUNG_GASTRIC_CANCER","DEFA5"
"AUNG_GASTRIC_CANCER","DEFA6"
"AUNG_GASTRIC_CANCER","DKK4"
"AUNG_GASTRIC_CANCER","ETS2"
"AUNG_GASTRIC_CANCER","FXYD3"
"AUNG_GASTRIC_CANCER","GOLPH3L"
"AUNG_GASTRIC_CANCER","HORMAD1"
"AUNG_GASTRIC_CANCER","HOXA10"
"AUNG_GASTRIC_CANCER","IFRD1"
"AUNG_GASTRIC_CANCER","IL16"
"AUNG_GASTRIC_CANCER","JUN"
"AUNG_GASTRIC_CANCER","KIF4A"
"AUNG_GASTRIC_CANCER","KMT2D"
"AUNG_GASTRIC_CANCER","LRRC45"
"AUNG_GASTRIC_CANCER","MAPK13"
"AUNG_GASTRIC_CANCER","MED1"
"AUNG_GASTRIC_CANCER","MIA"
"AUNG_GASTRIC_CANCER","MMP10"
"AUNG_GASTRIC_CANCER","MYBL2"
"AUNG_GASTRIC_CANCER","NEK9"
"AUNG_GASTRIC_CANCER","NIPSNAP3B"
"AUNG_GASTRIC_CANCER","NOP14"
"AUNG_GASTRIC_CANCER","OLFM4"
"AUNG_GASTRIC_CANCER","PRICKLE3"
"AUNG_GASTRIC_CANCER","PRKAG1"
"AUNG_GASTRIC_CANCER","RCC2"
"AUNG_GASTRIC_CANCER","REG4"
"AUNG_GASTRIC_CANCER","RPL8"
"AUNG_GASTRIC_CANCER","SEC31B"
"AUNG_GASTRIC_CANCER","SH3BGRL2"
"AUNG_GASTRIC_CANCER","SRSF9"
"AUNG_GASTRIC_CANCER","STAT2"
"AUNG_GASTRIC_CANCER","SULT1C2"
"AUNG_GASTRIC_CANCER","TAPBP"
"AUNG_GASTRIC_CANCER","THADA"
"AUNG_GASTRIC_CANCER","THBS3"
"AUNG_GASTRIC_CANCER","TMLHE"
"AUNG_GASTRIC_CANCER","TPT1"
"AUNG_GASTRIC_CANCER","TYRO3"
"AUNG_GASTRIC_CANCER","ZWILCH"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","AATK"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","ABCB8"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","ABO"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","ACVR1B"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","ADAMTS8"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","ADCY3"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","ALG3"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","ANGEL1"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","ARMC6"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","B3GAT3"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","BAIAP2"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","BARX1"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","BCL2"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","BORCS6"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","CCL17"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","CFAP410"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","CHKA"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","CRTC1"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","CRYBB2"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","DCAF8"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","DES"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","DOHH"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","DPAGT1"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","DTX2P1-UPK3BP1-PMS2P11"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","ECT2"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","EHMT2"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","EIF2B4"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","ELK4"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","EPHB1"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","EPO"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","FABP7"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","FKBP8"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","FOXD4"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","GLYR1"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","GOLGA8A"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","HEATR6"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","HHLA1"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","IFRD2"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","IL12RB1"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","IL1R1"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","ITGB1BP2"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","KDM4B"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","LDB1"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","MAPKAPK3"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","MEF2D"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","MOCS3"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","MPZL1"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","MR1"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","MTARC1"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","MYL10"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","MYO7A"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","N4BP2L1"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","NCAM1"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","NCR3"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","NEK9"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","NENF"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","NIPAL2"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","NME4"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","NPAP1"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","OBP2A"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","OMP"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","PHGDH"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","PLXNB1"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","POLG"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","POLR1E"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","POLR2A"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","PPFIA1"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","PPFIA3"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","PPP1R12B"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","PPP2R1A"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","PSRC1"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","RAB27B"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","RAB2A"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","RGR"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","RPL13A"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","SCNN1A"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","SGTA"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","SLC11A2"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","SLC13A2"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","SLC26A6"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","SLCO2B1"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","SLURP1"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","SMG1P2"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","TADA2A"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","TARS2"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","TMEM151B"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","TMEM8B"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","TNMD"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","TNNI2"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","TSHZ2"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","TSR1"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","UNG"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","WDR55"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","ZNF219"
"TAKADA_GASTRIC_CANCER_COPY_NUMBER_DN","ADAM23"
"TAKADA_GASTRIC_CANCER_COPY_NUMBER_DN","ADAMTSL1"
"TAKADA_GASTRIC_CANCER_COPY_NUMBER_DN","CAB39L"
"TAKADA_GASTRIC_CANCER_COPY_NUMBER_DN","CDKN2A"
"TAKADA_GASTRIC_CANCER_COPY_NUMBER_DN","CYSLTR2"
"TAKADA_GASTRIC_CANCER_COPY_NUMBER_DN","DMRT1"
"TAKADA_GASTRIC_CANCER_COPY_NUMBER_DN","DMRT2"
"TAKADA_GASTRIC_CANCER_COPY_NUMBER_DN","DMRT3"
"TAKADA_GASTRIC_CANCER_COPY_NUMBER_DN","FASTKD2"
"TAKADA_GASTRIC_CANCER_COPY_NUMBER_DN","FHIT"
"TAKADA_GASTRIC_CANCER_COPY_NUMBER_DN","FNDC3A"
"TAKADA_GASTRIC_CANCER_COPY_NUMBER_DN","KANK1"
"TAKADA_GASTRIC_CANCER_COPY_NUMBER_DN","KCNV2"
"TAKADA_GASTRIC_CANCER_COPY_NUMBER_DN","MDGA2"
"TAKADA_GASTRIC_CANCER_COPY_NUMBER_DN","MDH1B"
"TAKADA_GASTRIC_CANCER_COPY_NUMBER_DN","MTAP"
"TAKADA_GASTRIC_CANCER_COPY_NUMBER_DN","PUM3"
