"pathway","gene"
"BARIS_THYROID_CANCER_DN","ABCC3"
"BARIS_THYROID_CANCER_DN","ACY1"
"BARIS_THYROID_CANCER_DN","ANXA4"
"BARIS_THYROID_CANCER_DN","ATF1"
"BARIS_THYROID_CANCER_DN","BGN"
"BARIS_THYROID_CANCER_DN","CALM2"
"BARIS_THYROID_CANCER_DN","CCND1"
"BARIS_THYROID_CANCER_DN","CCND2"
"BARIS_THYROID_CANCER_DN","CD2"
"BARIS_THYROID_CANCER_DN","CD40LG"
"BARIS_THYROID_CANCER_DN","CD44"
"BARIS_THYROID_CANCER_DN","CDH3"
"BARIS_THYROID_CANCER_DN","COL8A1"
"BARIS_THYROID_CANCER_DN","CSNK2B"
"BARIS_THYROID_CANCER_DN","CTNNA1"
"BARIS_THYROID_CANCER_DN","CYTH1"
"BARIS_THYROID_CANCER_DN","DUSP6"
"BARIS_THYROID_CANCER_DN","ERBB2"
"BARIS_THYROID_CANCER_DN","EVPL"
"BARIS_THYROID_CANCER_DN","FGB"
"BARIS_THYROID_CANCER_DN","FGFR4"
"BARIS_THYROID_CANCER_DN","FNTA"
"BARIS_THYROID_CANCER_DN","GATA3"
"BARIS_THYROID_CANCER_DN","GLG1"
"BARIS_THYROID_CANCER_DN","GRB7"
"BARIS_THYROID_CANCER_DN","HDGF"
"BARIS_THYROID_CANCER_DN","IGF1R"
"BARIS_THYROID_CANCER_DN","IL13RA1"
"BARIS_THYROID_CANCER_DN","INPP5D"
"BARIS_THYROID_CANCER_DN","IRF1"
"BARIS_THYROID_CANCER_DN","KLF5"
"BARIS_THYROID_CANCER_DN","KLHL9"
"BARIS_THYROID_CANCER_DN","LLGL1"
"BARIS_THYROID_CANCER_DN","LMO7"
"BARIS_THYROID_CANCER_DN","MMP2"
"BARIS_THYROID_CANCER_DN","NEDD8"
"BARIS_THYROID_CANCER_DN","OSBPL1A"
"BARIS_THYROID_CANCER_DN","PKN3"
"BARIS_THYROID_CANCER_DN","RAB8A"
"BARIS_THYROID_CANCER_DN","RAD50"
"BARIS_THYROID_CANCER_DN","RAF1"
"BARIS_THYROID_CANCER_DN","RB1"
"BARIS_THYROID_CANCER_DN","RECQL"
"BARIS_THYROID_CANCER_DN","RPL13A"
"BARIS_THYROID_CANCER_DN","SEPTIN2"
"BARIS_THYROID_CANCER_DN","SMARCA5"
"BARIS_THYROID_CANCER_DN","SNRPF"
"BARIS_THYROID_CANCER_DN","SP110"
"BARIS_THYROID_CANCER_DN","SRPRA"
"BARIS_THYROID_CANCER_DN","TGFB1"
"BARIS_THYROID_CANCER_DN","TIMP1"
"BARIS_THYROID_CANCER_DN","TJP2"
"BARIS_THYROID_CANCER_DN","TNFSF10"
"BARIS_THYROID_CANCER_DN","TNFSF13"
"BARIS_THYROID_CANCER_DN","TOP2B"
"BARIS_THYROID_CANCER_DN","UBA1"
"BARIS_THYROID_CANCER_DN","UBE2C"
"BARIS_THYROID_CANCER_DN","USP1"
"BARIS_THYROID_CANCER_DN","VCL"
"BARIS_THYROID_CANCER_UP","ACTN2"
"BARIS_THYROID_CANCER_UP","ADA"
"BARIS_THYROID_CANCER_UP","ATF4"
"BARIS_THYROID_CANCER_UP","ATP6V1D"
"BARIS_THYROID_CANCER_UP","CD46"
"BARIS_THYROID_CANCER_UP","COPB1"
"BARIS_THYROID_CANCER_UP","COX6A1"
"BARIS_THYROID_CANCER_UP","COX7A2"
"BARIS_THYROID_CANCER_UP","COX7B"
"BARIS_THYROID_CANCER_UP","CRNKL1"
"BARIS_THYROID_CANCER_UP","CYC1"
"BARIS_THYROID_CANCER_UP","CYCS"
"BARIS_THYROID_CANCER_UP","EIF2S2"
"BARIS_THYROID_CANCER_UP","ERCC5"
"BARIS_THYROID_CANCER_UP","GCHFR"
"BARIS_THYROID_CANCER_UP","GLUL"
"BARIS_THYROID_CANCER_UP","GSTM3"
"BARIS_THYROID_CANCER_UP","LPGAT1"
"BARIS_THYROID_CANCER_UP","NRF1"
"BARIS_THYROID_CANCER_UP","PTPRN"
"BARIS_THYROID_CANCER_UP","RBBP5"
"BARIS_THYROID_CANCER_UP","RPN1"
"BARIS_THYROID_CANCER_UP","SNRNP200"
"BARIS_THYROID_CANCER_UP","STIP1"
"DELYS_THYROID_CANCER_DN","ACKR3"
