"pathway","gene"
"BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_DN","AOC3"
"BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_DN","BRICD5"
"BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_DN","CEND1"
"BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_DN","DNLZ"
"BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_DN","EFCAB12"
"BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_DN","FTCD"
"BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_DN","HSPA6"
"BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_DN","IL9RP3"
"BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_DN","KLKP1"
"BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_DN","MIR4521"
"BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_DN","MMP25"
"BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_DN","MROH2A"
"BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_DN","MSLNL"
"BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_DN","PDE1B"
"BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_DN","PPP1R27"
"BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_DN","RBFOX3"
"BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_DN","RN7SL472P"
"BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_DN","SLC5A10"
"BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_DN","SPATA31G1"
"BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_DN","SRPK3"
"BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_UP","ADAM9"
"BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_UP","ANKRD1"
"BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_UP","APP"
"BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_UP","ATP6AP2"
"BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_UP","CCN1"
"BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_UP","COL12A1"
"BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_UP","COL4A2"
"BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_UP","DSG2"
"BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_UP","EGR1"
"BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_UP","GANAB"
"BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_UP","GBA1"
"BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_UP","GPC4"
"BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_UP","ITGAV"
"BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_UP","ITGB4"
"BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_UP","NUP210"
