"pathway","gene"
"EVADING GROWTH SUPPRESSORS","ZBTB17"
"EVADING GROWTH SUPPRESSORS","YWHAZ"
"EVADING GROWTH SUPPRESSORS","YWHAQ"
"EVADING GROWTH SUPPRESSORS","YWHAH"
"EVADING GROWTH SUPPRESSORS","YWHAG"
"EVADING GROWTH SUPPRESSORS","YWHAE"
"EVADING GROWTH SUPPRESSORS","YWHAB"
"EVADING GROWTH SUPPRESSORS","VAV1"
"EVADING GROWTH SUPPRESSORS","USP6"
"EVADING GROWTH SUPPRESSORS","TSHR"
"EVADING GROWTH SUPPRESSORS","TRAF6"
"EVADING GROWTH SUPPRESSORS","TRAF2"
"EVADING GROWTH SUPPRESSORS","TRADD"
"EVADING GROWTH SUPPRESSORS","TOPBP1"
"EVADING GROWTH SUPPRESSORS","TNFRSF1A"
"EVADING GROWTH SUPPRESSORS","TNF"
"EVADING GROWTH SUPPRESSORS","TFDP1"
"EVADING GROWTH SUPPRESSORS","STAT3"
"EVADING GROWTH SUPPRESSORS","STAT1"
"EVADING GROWTH SUPPRESSORS","SRC"
"EVADING GROWTH SUPPRESSORS","SPHK2"
"EVADING GROWTH SUPPRESSORS","SPHK1"
"EVADING GROWTH SUPPRESSORS","SOS1"
"EVADING GROWTH SUPPRESSORS","SORT1"
"EVADING GROWTH SUPPRESSORS","SOCS3"
"EVADING GROWTH SUPPRESSORS","SMPD3"
"EVADING GROWTH SUPPRESSORS","SMPD1"
"EVADING GROWTH SUPPRESSORS","SMARCAL1"
"EVADING GROWTH SUPPRESSORS","SMAD4"
"EVADING GROWTH SUPPRESSORS","SMAD3"
"EVADING GROWTH SUPPRESSORS","SIN3B"
"EVADING GROWTH SUPPRESSORS","SIN3A"
"EVADING GROWTH SUPPRESSORS","SHC1"
"EVADING GROWTH SUPPRESSORS","SFN"
"EVADING GROWTH SUPPRESSORS","SAP30"
"EVADING GROWTH SUPPRESSORS","SAP18"
"EVADING GROWTH SUPPRESSORS","S1PR1"
"EVADING GROWTH SUPPRESSORS","RPA2"
"EVADING GROWTH SUPPRESSORS","RPA1"
"EVADING GROWTH SUPPRESSORS","RIPK2"
"EVADING GROWTH SUPPRESSORS","RIPK1"
"EVADING GROWTH SUPPRESSORS","RICTOR"
"EVADING GROWTH SUPPRESSORS","RFC5"
"EVADING GROWTH SUPPRESSORS","RFC4"
"EVADING GROWTH SUPPRESSORS","RFC3"
"EVADING GROWTH SUPPRESSORS","RFC2"
"EVADING GROWTH SUPPRESSORS","RELA"
"EVADING GROWTH SUPPRESSORS","RBL1"
"EVADING GROWTH SUPPRESSORS","RBBP7"
"EVADING GROWTH SUPPRESSORS","RBBP4"
"EVADING GROWTH SUPPRESSORS","RB1"
"EVADING GROWTH SUPPRESSORS","RASA1"
"EVADING GROWTH SUPPRESSORS","RAD9A"
"EVADING GROWTH SUPPRESSORS","RAD17"
"EVADING GROWTH SUPPRESSORS","RAD1"
"EVADING GROWTH SUPPRESSORS","RAC1"
"EVADING GROWTH SUPPRESSORS","PXN"
"EVADING GROWTH SUPPRESSORS","PTPRE"
"EVADING GROWTH SUPPRESSORS","PTPN11"
"EVADING GROWTH SUPPRESSORS","PTPN1"
"EVADING GROWTH SUPPRESSORS","PRKDC"
"EVADING GROWTH SUPPRESSORS","PRKCZ"
"EVADING GROWTH SUPPRESSORS","PRKCD"
"EVADING GROWTH SUPPRESSORS","PRKACA"
"EVADING GROWTH SUPPRESSORS","PRDM4"
"EVADING GROWTH SUPPRESSORS","PLG"
"EVADING GROWTH SUPPRESSORS","PLCG1"
"EVADING GROWTH SUPPRESSORS","PIK3R1"
"EVADING GROWTH SUPPRESSORS","PIK3CA"
"EVADING GROWTH SUPPRESSORS","PIAS1"
"EVADING GROWTH SUPPRESSORS","PDK1"
"EVADING GROWTH SUPPRESSORS","PDPK1"
"EVADING GROWTH SUPPRESSORS","PDGFRB"
"EVADING GROWTH SUPPRESSORS","PDGFB"
"EVADING GROWTH SUPPRESSORS","PDGFA"
"EVADING GROWTH SUPPRESSORS","PAWR"
"EVADING GROWTH SUPPRESSORS","NSMAF"
"EVADING GROWTH SUPPRESSORS","NGFR"
"EVADING GROWTH SUPPRESSORS","NGF"
"EVADING GROWTH SUPPRESSORS","NFKBIA"
"EVADING GROWTH SUPPRESSORS","NFKB1"
"EVADING GROWTH SUPPRESSORS","NCK1"
"EVADING GROWTH SUPPRESSORS","MYC"
"EVADING GROWTH SUPPRESSORS","MXD1"
"EVADING GROWTH SUPPRESSORS","MTOR"
"EVADING GROWTH SUPPRESSORS","MMP7"
"EVADING GROWTH SUPPRESSORS","MLST8"
"EVADING GROWTH SUPPRESSORS","MET"
"EVADING GROWTH SUPPRESSORS","MCM2"
"EVADING GROWTH SUPPRESSORS","MCM7"
"EVADING GROWTH SUPPRESSORS","MCL1"
"EVADING GROWTH SUPPRESSORS","MAX"
"EVADING GROWTH SUPPRESSORS","MAPKAP1"
"EVADING GROWTH SUPPRESSORS","MAP4K4"
"EVADING GROWTH SUPPRESSORS","MAP2K4"
"EVADING GROWTH SUPPRESSORS","MADD"
"EVADING GROWTH SUPPRESSORS","LMO4"
"EVADING GROWTH SUPPRESSORS","LHCGR"
"EVADING GROWTH SUPPRESSORS","KPNA1"
