"pathway","num_genes","num_TGs","min","q25","mean","median","q75","max","TG_prop"
"ABDULRAHMAN_KIDNEY_CANCER_VHL_DN",13,3,38,80,102.666666666667,122,135,148,0.230769230769231
"ACEVEDO_LIVER_CANCER_DN",540,156,1,13,60.8205128205128,24,64.25,696,0.288888888888889
"ACEVEDO_LIVER_CANCER_UP",972,297,1,11,74.6329966329966,24,62,1089,0.305555555555556
"ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN",222,75,1,10,53.0533333333333,27,50.5,608,0.337837837837838
"ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP",290,62,1,9.25,86.1935483870968,33,67.5,1151,0.213793103448276
"ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN",119,37,1,6,38.3513513513514,11,31,346,0.310924369747899
"ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP",137,29,1,5,48.4827586206897,12,33,408,0.211678832116788
"ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN",274,81,1,10,68.5185185185185,23,56,696,0.295620437956204
"ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP",863,254,1,10.25,62.248031496063,22,60.75,821,0.294322132097335
"ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN",873,193,1,11,56.4093264248705,22,47,932,0.221076746849943
"ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN",354,93,1,16,78.3118279569892,37,104,502,0.26271186440678
"ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP",173,50,1,11,51.5,22.5,41.25,555,0.289017341040462
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN",237,70,1,12,110.314285714286,35,133.75,1151,0.29535864978903
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_UP",304,89,1,11,79.1348314606742,30,70,932,0.292763157894737
"ANDERSEN_LIVER_CANCER_KRT19_DN",75,17,2,13,78.8235294117647,29,67,336,0.226666666666667
"ANDERSEN_LIVER_CANCER_KRT19_UP",35,9,1,5,25.8888888888889,28,41,64,0.257142857142857
"APRELIKOVA_BRCA1_TARGETS",48,11,2,9,34.4545454545455,26,39,156,0.229166666666667
"AUNG_GASTRIC_CANCER",52,18,1,13.25,48,27.5,39.5,225,0.346153846153846
"BAE_BRCA1_TARGETS_DN",30,10,11,16,25.4,19.5,30.25,66,0.333333333333333
"BAE_BRCA1_TARGETS_UP",71,20,1,6,55.7,10.5,43,418,0.28169014084507
"BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_DN",20,4,20,22.25,30.5,29.5,37.75,43,0.2
"BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_UP",20,8,4,10,45.5,21,41.75,209,0.4
"BARIS_THYROID_CANCER_DN",59,16,2,14.5,68,27,58,306,0.271186440677966
"BARIS_THYROID_CANCER_UP",24,5,1,6,104,34,45,434,0.208333333333333
"BARRIER_COLON_CANCER_RECURRENCE_DN",19,5,1,83,172,233,236,307,0.263157894736842
"BARRIER_COLON_CANCER_RECURRENCE_UP",42,7,8,17.5,29.5714285714286,19,41.5,62,0.166666666666667
"BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN",181,54,1,6.25,42.6666666666667,18.5,49.5,257,0.298342541436464
"BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_UP",207,60,1,14.75,56.55,31.5,64,296,0.289855072463768
"BORLAK_LIVER_CANCER_EGF_UP",54,12,1,7.5,52.1666666666667,29.5,63.75,203,0.222222222222222
"BOYAULT_LIVER_CANCER_SUBCLASS_G123_DN",51,11,3,14.5,84.1818181818182,25,102.5,312,0.215686274509804
"BOYAULT_LIVER_CANCER_SUBCLASS_G123_UP",47,10,1,18.25,40.6,26.5,40,168,0.212765957446809
"BOYAULT_LIVER_CANCER_SUBCLASS_G12_DN",15,7,15,19,30.1428571428571,23,38.5,58,0.466666666666667
"BOYAULT_LIVER_CANCER_SUBCLASS_G12_UP",40,13,6,11,51.6153846153846,15,32,434,0.325
"BOYAULT_LIVER_CANCER_SUBCLASS_G1_DN",40,18,3,7.25,53,25,51,228,0.45
"BOYAULT_LIVER_CANCER_SUBCLASS_G1_UP",116,46,1,22.25,66.195652173913,29.5,60,353,0.396551724137931
"BOYAULT_LIVER_CANCER_SUBCLASS_G2",28,13,1,8,14.5384615384615,10,25,34,0.464285714285714
"BOYAULT_LIVER_CANCER_SUBCLASS_G23_DN",10,5,1,7,47.8,13,43,175,0.5
"BOYAULT_LIVER_CANCER_SUBCLASS_G23_UP",53,15,1,5,27,21,35,123,0.283018867924528
"BOYAULT_LIVER_CANCER_SUBCLASS_G3_DN",53,13,10,17,148.615384615385,49,236,816,0.245283018867925
"BOYAULT_LIVER_CANCER_SUBCLASS_G3_UP",190,64,1,8,68.6875,15.5,58.25,456,0.336842105263158
"BOYAULT_LIVER_CANCER_SUBCLASS_G56_DN",17,7,2,10.5,22.4285714285714,22,34,44,0.411764705882353
"BOYAULT_LIVER_CANCER_SUBCLASS_G56_UP",12,3,1,3.5,20.3333333333333,6,30,54,0.25
"BOYAULT_LIVER_CANCER_SUBCLASS_G5_DN",28,8,2,4.5,161.875,16,240.5,653,0.285714285714286
"BOYAULT_LIVER_CANCER_SUBCLASS_G6_DN",19,5,6,10,20,17,29,38,0.263157894736842
"BOYAULT_LIVER_CANCER_SUBCLASS_G6_UP",66,10,2,21.25,60.8,32,48.5,247,0.151515151515152
"BRAUNE_GEIST_20_GENE_NOTCH_SIG_BREAST_CANCER",20,5,6,12,74.8,42,57,257,0.25
"BRCA1_DN.V1_DN",139,43,4,9.5,59.3953488372093,30,59.5,686,0.309352517985612
"BRCA1_DN.V1_UP",134,30,2,8.25,47.7666666666667,18.5,64.75,215,0.223880597014925
"BRCA2_TARGET_GENES",1662,494,1,10,56.6599190283401,25,57.75,932,0.297232250300842
"BREUHAHN_GROWTH_FACTOR_SIGNALING_IN_LIVER_CANCER",15,7,10,42.5,107.857142857143,61,97.5,404,0.466666666666667
"CAMPS_COLON_CANCER_COPY_NUMBER_DN",74,11,2,6.5,18.8181818181818,13,26,56,0.148648648648649
"CAMPS_COLON_CANCER_COPY_NUMBER_UP",93,25,2,13,70.84,32,82,302,0.268817204301075
"CAVARD_LIVER_CANCER_MALIGNANT_VS_BENIGN",32,6,1,13.75,74.8333333333333,22,48.25,336,0.1875
"CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_DN",52,18,1,8.25,116.777777777778,21,109,915,0.346153846153846
"CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_UP",126,29,2,20,60.3793103448276,35,62,417,0.23015873015873
"CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_DN",456,133,1,10,77.2255639097744,21,73,817,0.291666666666667
"CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_UP",383,126,1,9,53.9126984126984,25.5,63.25,353,0.328981723237598
"CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN",465,172,1,9,85.8255813953488,21,71.75,915,0.36989247311828
"CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_UP",454,134,1,12.25,62.8283582089552,27,54.75,679,0.295154185022026
"CHEN_LUNG_CANCER_SURVIVAL",56,10,2,30,49,40,72,101,0.178571428571429
"CHIANG_LIVER_CANCER_SUBCLASS_CTNNB1_DN",170,34,1,9.25,60.7647058823529,30.5,72,292,0.2
"CHIANG_LIVER_CANCER_SUBCLASS_CTNNB1_UP",175,46,2,9,82.6304347826087,33,85.5,448,0.262857142857143
"CHIANG_LIVER_CANCER_SUBCLASS_INTERFERON_DN",52,10,4,5.25,34.9,7,39.75,188,0.192307692307692
"CHIANG_LIVER_CANCER_SUBCLASS_INTERFERON_UP",26,5,3,10,43.2,36,82,85,0.192307692307692
"CHIANG_LIVER_CANCER_SUBCLASS_POLYSOMY7_DN",25,5,13,23,51.2,27,72,121,0.2
"CHIANG_LIVER_CANCER_SUBCLASS_POLYSOMY7_UP",79,21,2,7,45.3333333333333,23,52,342,0.265822784810127
"CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_DN",179,42,1,11,80.9523809523809,33.5,116.25,342,0.23463687150838
"CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_UP",179,40,1,9,60.125,18.5,41.75,677,0.223463687150838
"CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_DN",194,44,1,8.5,52.6590909090909,22,69.75,280,0.22680412371134
"CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_UP",86,28,1,7.75,78.1785714285714,20.5,49.25,829,0.325581395348837
"CHIN_BREAST_CANCER_COPY_NUMBER_DN",13,7,1,17.5,29.8571428571429,27,32,82,0.538461538461538
"CHIN_BREAST_CANCER_COPY_NUMBER_UP",28,6,1,3.5,17.1666666666667,10.5,17.5,60,0.214285714285714
"CLIMENT_BREAST_CANCER_COPY_NUMBER_DN",8,4,9,9.75,18.5,11,19.75,43,0.5
"CLIMENT_BREAST_CANCER_COPY_NUMBER_UP",23,4,3,3,6.25,5.5,8.75,11,0.173913043478261
"DELYS_THYROID_CANCER_DN",233,56,1,10,65.5,27.5,49.25,845,0.240343347639485
"DELYS_THYROID_CANCER_UP",445,116,1,9,51.9913793103448,16.5,37,713,0.260674157303371
"DESERT_EXTRACELLULAR_MATRIX_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP",22,3,8,11.5,32.3333333333333,15,44.5,74,0.136363636363636
"DESERT_PERIPORTAL_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP",159,34,2,10,47.6470588235294,16,44.5,289,0.213836477987421
"DESERT_PERIVENOUS_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP",155,41,1,10,71.2682926829268,39,81,312,0.264516129032258
"DESERT_STEM_CELL_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP",242,75,1,9.5,79.2133333333333,19,57,712,0.309917355371901
"DING_LUNG_CANCER_BY_MUTATION_RATE",40,14,5,7.25,54,23,65.75,212,0.35
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER",200,66,1,9,97.5454545454545,25,90,802,0.33
"DING_LUNG_CANCER_MUTATED_FREQUENTLY",24,8,7,8.5,39.5,13,44,125,0.333333333333333
"DING_LUNG_CANCER_MUTATED_RECURRENTLY",12,6,7,36.5,88.6666666666667,125,131.75,134,0.5
"DING_LUNG_CANCER_MUTATED_SIGNIFICANTLY",52,20,7,14,79.5,59,134,212,0.384615384615385
"DOANE_BREAST_CANCER_CLASSES_DN",33,10,8,12.75,139.9,44.5,247.5,496,0.303030303030303
