"pathway","num_genes","num_TGs","min","q25","mean","median","q75","max","TG_prop"
"2-LTR circle formation",7,3,2,95,201.666666666667,188,301.5,415,0.428571428571429
"3-Methylcrotonyl-CoA carboxylase deficiency",2,1,30,30,30,30,30,30,0.5
"3-hydroxyisobutyryl-CoA hydrolase deficiency",1,0,NA,NA,NA,NA,NA,NA,0
"3-methylglutaconic aciduria",1,0,NA,NA,NA,NA,NA,NA,0
"5-Phosphoribose 1-diphosphate biosynthesis",3,2,29,29,29,29,29,29,0.666666666666667
"ABC transporter disorders",65,20,1,13.75,42,24.5,49,283,0.307692307692308
"ABC transporters in lipid homeostasis",18,7,1,7,40.8571428571429,23,79,90,0.388888888888889
"ABC-family proteins mediated transport",90,31,1,13,43.3225806451613,26,53,283,0.344444444444444
"ABO blood group biosynthesis",2,0,NA,NA,NA,NA,NA,NA,0
"ADORA2B mediated anti-inflammatory cytokines production",43,11,3,7.5,17.8181818181818,17,20,48,0.255813953488372
"ADP signalling through P2Y purinoceptor 1",25,8,6,8.5,33.75,11.5,30,149,0.32
"ADP signalling through P2Y purinoceptor 12",22,4,3,7.5,11.5,10.5,14.5,22,0.181818181818182
"AKT phosphorylates targets in the cytosol",14,5,3,5,12,10,14,28,0.357142857142857
"AKT phosphorylates targets in the nucleus",10,2,3,3,3,3,3,3,0.2
"AKT-mediated inactivation of FOXO1A",4,1,3,3,3,3,3,3,0.25
"ALK mutants bind TKIs",12,3,2,6.5,12.6666666666667,11,18,25,0.25
"ALKBH2 mediated reversal of alkylation damage",1,0,NA,NA,NA,NA,NA,NA,0
"ALKBH3 mediated reversal of alkylation damage",4,1,52,52,52,52,52,52,0.25
"AMPK inhibits chREBP transcriptional activation activity",8,2,7,36.5,66,66,95.5,125,0.25
"AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274)",55,16,4,13.75,90.1875,24,59,597,0.290909090909091
"APC truncation mutants are not K63 polyubiquitinated",1,0,NA,NA,NA,NA,NA,NA,0
"APC truncation mutants have impaired AXIN binding",14,7,2,10.5,67,39,72.5,262,0.5
"APC-Cdc20 mediated degradation of Nek2A",26,6,4,15,28.3333333333333,18.5,42.25,65,0.230769230769231
"APC/C-mediated degradation of cell cycle proteins",75,18,4,15,61.0555555555556,30.5,56.5,386,0.24
"APC/C:Cdc20 mediated degradation of Cyclin B",24,6,4,15,28.3333333333333,18.5,42.25,65,0.25
"APC/C:Cdc20 mediated degradation of Securin",55,12,4,14.75,30.1666666666667,20.5,50.5,65,0.218181818181818
"APC/C:Cdc20 mediated degradation of mitotic proteins",63,12,4,14.75,30.1666666666667,20.5,50.5,65,0.19047619047619
"APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1",61,15,4,15,67,39,56,386,0.245901639344262
"APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint",61,12,4,14.75,30.1666666666667,20.5,50.5,65,0.19672131147541
"APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway",7,2,11,11.25,11.5,11.5,11.75,12,0.285714285714286
"APOBEC3G mediated resistance to HIV-1 infection",5,3,11,17,149.666666666667,23,219,415,0.6
"ARL13B-mediated ciliary trafficking of INPP5E",3,1,35,35,35,35,35,35,0.333333333333333
"ARMS-mediated activation",7,2,44,131.5,219,219,306.5,394,0.285714285714286
"ASP-3026-resistant ALK mutants",1,0,NA,NA,NA,NA,NA,NA,0
"ATF4 activates genes in response to endoplasmic reticulum  stress",27,6,18,86.75,203.666666666667,152,309.5,473,0.222222222222222
"ATF6 (ATF6-alpha) activates chaperone genes",10,2,3,19.25,35.5,35.5,51.75,68,0.2
"ATF6 (ATF6-alpha) activates chaperones",12,4,3,6.75,23.75,12,29,68,0.333333333333333
"ATF6B (ATF6-beta) activates chaperones",4,2,8,10,12,12,14,16,0.5
"ATP sensitive Potassium channels",4,2,1,7.75,14.5,14.5,21.25,28,0.5
"ATP-dependent chromatin remodelers",31,12,7,20.25,79.25,29.5,129.75,301,0.387096774193548
"AUF1 (hnRNP D0) binds and destabilizes mRNA",42,11,2,12.5,27.9090909090909,19,49,65,0.261904761904762
